candidate	workload	session	block_order_seed	cross_cell_seed	block	condition	order_in_block	process_interval_seconds	work_time_seconds	exit_code	behavior_ok	coverage_artifact_ok	timed_out	import_exit_code	import_timed_out	timestamp
nano-coverage	w11	0	75405259	879027436	0	B0	0	3.8566	1.720844	0	True		False	0	False	1789935964.604
nano-coverage	w11	0	75405259	879027436	0	C	1	8.3098	6.304652	0	True	True	False	0	False	1789935978.685
gd-tools	w03	0	2119882653	879027436	0	B1	0	5.1990	1.976012	0	True		False	0	False	1789935987.972
gd-tools	w03	0	2119882653	879027436	0	C	1	27.4825	24.195959	0	True	True	False	0	False	1789936019.454
gd-tools	w03	0	2119882653	879027436	0	B0	2	5.0224	1.942473	0	True		False	0	False	1789936028.495
gd-tools	w05	0	4277048794	879027436	0	C	0	5.4625	2.011695	0	True	True	False	0	False	1789936036.294
gd-tools	w05	0	4277048794	879027436	0	B1	1	5.2071	1.913787	0	True		False	0	False	1789936043.839
gd-tools	w05	0	4277048794	879027436	0	B0	2	5.2974	1.964623	0	True		False	0	False	1789936051.475
nano-coverage	w03	0	3427911301	879027436	0	C	0	20.1831	18.523952	0	True	True	False	0	False	1789936076.621
nano-coverage	w03	0	3427911301	879027436	0	B0	1	3.6401	1.994303	0	True		False	0	False	1789936084.616
nano-coverage	w01	0	1256251287	879027436	0	C	0	1.8181		0	True	True	False	0	False	1789936089.706
nano-coverage	w01	0	1256251287	879027436	0	B0	1	1.7272		0	True		False	0	False	1789936094.146
gd-tools	w11	0	2879191030	879027436	0	B1	0	5.2918	1.763010	0	True		False	0	False	1789936104.297
gd-tools	w11	0	2879191030	879027436	0	C	1	11.6803	7.982552	0	True	True	False	0	False	1789936120.734
gd-tools	w11	0	2879191030	879027436	0	B0	2	5.2073	1.723991	0	True		False	0	False	1789936130.786
nano-coverage	w05	0	746166457	879027436	0	C	0	7.5962	5.718162	0	True	True	False	0	False	1789936141.659
nano-coverage	w05	0	746166457	879027436	0	B0	1	3.6983	1.933245	0	True		False	0	False	1789936147.978
gd-tools	w01	0	3544489267	879027436	0	B1	0	3.2521		0	True		False	0	False	1789936153.661
gd-tools	w01	0	3544489267	879027436	0	B0	1	3.2720		0	True		False	0	False	1789936159.267
gd-tools	w01	0	3544489267	879027436	0	C	2	3.3945		0	True	True	False	0	False	1789936165.087
nano-coverage	w11	0	75405259	879027436	1	B0	0	3.6729	1.728300	0	True		False	0	False	1789936173.796
nano-coverage	w11	0	75405259	879027436	1	C	1	8.2152	6.186607	0	True	True	False	0	False	1789936187.722
gd-tools	w03	0	2119882653	879027436	1	C	0	27.2963	23.993080	0	True	True	False	0	False	1789936219.139
gd-tools	w03	0	2119882653	879027436	1	B1	1	5.1239	1.962411	0	True		False	0	False	1789936228.388
gd-tools	w03	0	2119882653	879027436	1	B0	2	5.1020	1.933481	0	True		False	0	False	1789936237.552
gd-tools	w05	0	4277048794	879027436	1	B0	0	5.1954	1.936788	0	True		False	0	False	1789936245.080
gd-tools	w05	0	4277048794	879027436	1	B1	1	5.2953	1.954637	0	True		False	0	False	1789936252.715
gd-tools	w05	0	4277048794	879027436	1	C	2	5.5368	2.096652	0	True	True	False	0	False	1789936260.610
nano-coverage	w03	0	3427911301	879027436	1	B0	0	3.5707	1.942787	0	True		False	0	False	1789936268.583
nano-coverage	w03	0	3427911301	879027436	1	C	1	20.3701	18.621874	0	True	True	False	0	False	1789936294.048
nano-coverage	w01	0	1256251287	879027436	1	B0	0	1.7638		0	True		False	0	False	1789936298.428
nano-coverage	w01	0	1256251287	879027436	1	C	1	1.7826		0	True	True	False	0	False	1789936303.488
gd-tools	w11	0	2879191030	879027436	1	C	0	11.5812	7.867810	0	True	True	False	0	False	1789936319.985
gd-tools	w11	0	2879191030	879027436	1	B1	1	5.2954	1.723308	0	True		False	0	False	1789936330.088
gd-tools	w11	0	2879191030	879027436	1	B0	2	5.2973	1.727752	0	True		False	0	False	1789936340.262
nano-coverage	w05	0	746166457	879027436	1	C	0	7.4298	5.633370	0	True	True	False	0	False	1789936350.969
nano-coverage	w05	0	746166457	879027436	1	B0	1	3.6783	1.943069	0	True		False	0	False	1789936357.270
gd-tools	w01	0	3544489267	879027436	1	C	0	3.3970		0	True	True	False	0	False	1789936363.006
gd-tools	w01	0	3544489267	879027436	1	B0	1	3.2451		0	True		False	0	False	1789936368.601
gd-tools	w01	0	3544489267	879027436	1	B1	2	3.2661		0	True		False	0	False	1789936374.201
nano-coverage	w11	0	75405259	879027436	2	B0	0	3.6614	1.721816	0	True		False	0	False	1789936382.910
nano-coverage	w11	0	75405259	879027436	2	C	1	8.3396	6.301373	0	True	True	False	0	False	1789936396.972
gd-tools	w03	0	2119882653	879027436	2	B0	0	5.0309	1.923119	0	True		False	0	False	1789936406.273
gd-tools	w03	0	2119882653	879027436	2	B1	1	5.1113	1.969147	0	True		False	0	False	1789936415.612
