candidate	workload	session	session_seed	block	condition	order_in_block	process_interval_seconds	work_time_seconds	exit_code	behavior_ok	coverage_artifact_ok	timed_out	import_exit_code	import_timed_out	timestamp
gd-tools	w01	0	125677563	0	B1	0	3.4747		0	True		False	0	False	1789924261.120
gd-tools	w01	0	125677563	0	C	1	3.6108		0	True	True	False	0	False	1789924267.339
gd-tools	w01	0	125677563	0	B0	2	3.4678		0	True		False	0	False	1789924273.329
gd-tools	w01	0	125677563	1	B1	0	3.4759		0	True		False	0	False	1789924279.324
gd-tools	w01	0	125677563	1	B0	1	3.4915		0	True		False	0	False	1789924285.341
gd-tools	w01	0	125677563	1	C	2	3.6215		0	True	True	False	0	False	1789924291.578
gd-tools	w01	0	125677563	2	B0	0	3.4715		0	True		False	0	False	1789924297.569
gd-tools	w01	0	125677563	2	C	1	3.5233		0	True	True	False	0	False	1789924303.706
gd-tools	w01	0	125677563	2	B1	2	3.4631		0	True		False	0	False	1789924309.794
gd-tools	w01	0	125677563	3	B1	0	3.4531		0	True		False	0	False	1789924315.785
gd-tools	w01	0	125677563	3	B0	1	3.4728		0	True		False	0	False	1789924321.776
gd-tools	w01	0	125677563	3	C	2	3.7550		0	True	True	False	0	False	1789924328.146
gd-tools	w01	0	125677563	4	C	0	3.6303		0	True	True	False	0	False	1789924334.401
gd-tools	w01	0	125677563	4	B1	1	3.4642		0	True		False	0	False	1789924340.381
gd-tools	w01	0	125677563	4	B0	2	3.3440		0	True		False	0	False	1789924346.250
gd-tools	w01	1	262059410	0	B0	0	3.3725		0	True		False	0	False	1789924352.057
gd-tools	w01	1	262059410	0	B1	1	3.4617		0	True		False	0	False	1789924357.959
gd-tools	w01	1	262059410	0	C	2	3.6693		0	True	True	False	0	False	1789924364.157
gd-tools	w01	1	262059410	1	B0	0	3.4903		0	True		False	0	False	1789924370.181
gd-tools	w01	1	262059410	1	B1	1	3.4810		0	True		False	0	False	1789924376.194
gd-tools	w01	1	262059410	1	C	2	3.8157		0	True	True	False	0	False	1789924382.730
gd-tools	w01	1	262059410	2	C	0	3.6332		0	True	True	False	0	False	1789924389.082
gd-tools	w01	1	262059410	2	B0	1	3.4649		0	True		False	0	False	1789924395.078
gd-tools	w01	1	262059410	2	B1	2	3.4903		0	True		False	0	False	1789924401.191
gd-tools	w01	1	262059410	3	B1	0	3.4849		0	True		False	0	False	1789924407.305
gd-tools	w01	1	262059410	3	B0	1	3.5595		0	True		False	0	False	1789924413.488
gd-tools	w01	1	262059410	3	C	2	3.6539		0	True	True	False	0	False	1789924419.686
gd-tools	w01	1	262059410	4	B0	0	3.4821		0	True		False	0	False	1789924425.708
gd-tools	w01	1	262059410	4	B1	1	3.5684		0	True		False	0	False	1789924431.813
gd-tools	w01	1	262059410	4	C	2	3.7401		0	True	True	False	0	False	1789924438.271
gd-tools	w03	0	1178478900	0	B0	0	5.2440	1.996333	0	True		False	0	False	1789924448.287
gd-tools	w03	0	1178478900	0	B1	1	5.2041	1.992977	0	True		False	0	False	1789924457.891
gd-tools	w03	0	1178478900	0	C	2	27.6116	24.118338	0	True	True	False	0	False	1789924489.827
gd-tools	w03	0	1178478900	1	B0	0	5.2439	1.931976	0	True		False	0	False	1789924499.366
gd-tools	w03	0	1178478900	1	C	1	27.4938	24.057282	0	True	True	False	0	False	1789924531.160
gd-tools	w03	0	1178478900	1	B1	2	5.2066	1.952423	0	True		False	0	False	1789924540.661
gd-tools	w03	0	1178478900	2	C	0	29.2068	25.618915	0	True	True	False	0	False	1789924574.192
gd-tools	w03	0	1178478900	2	B1	1	5.5167	1.982094	0	True		False	0	False	1789924584.163
gd-tools	w03	0	1178478900	2	B0	2	5.4243	2.054422	0	True		False	0	False	1789924594.245
gd-tools	w03	0	1178478900	3	B0	0	5.5338	2.089040	0	True		False	0	False	1789924604.427
gd-tools	w03	0	1178478900	3	C	1	29.1245	25.428860	0	True	True	False	0	False	1789924638.214
gd-tools	w03	0	1178478900	3	B1	2	5.2200	1.980069	0	True		False	0	False	1789924647.858
gd-tools	w03	0	1178478900	4	C	0	28.0611	24.612356	0	True	True	False	0	False	1789924680.337
gd-tools	w03	0	1178478900	4	B1	1	5.4343	1.989538	0	True		False	0	False	1789924690.335
gd-tools	w03	0	1178478900	4	B0	2	5.4153	2.010138	0	True		False	0	False	1789924700.173
gd-tools	w03	1	3565253175	0	C	0	28.6391	25.069020	0	True	True	False	0	False	1789924733.372
gd-tools	w03	1	3565253175	0	B1	1	5.4117	2.014784	0	True		False	0	False	1789924743.236
gd-tools	w03	1	3565253175	0	B0	2	5.5216	2.124142	0	True		False	0	False	1789924753.215
gd-tools	w03	1	3565253175	1	B0	0	5.4525	2.049379	0	True		False	0	False	1789924763.277
gd-tools	w03	1	3565253175	1	C	1	28.1705	24.647563	0	True	True	False	0	False	1789924795.909
gd-tools	w03	1	3565253175	1	B1	2	5.2126	1.951157	0	True		False	0	False	1789924805.503
gd-tools	w03	1	3565253175	2	B1	0	5.2154	1.957847	0	True		False	0	False	1789924815.095
gd-tools	w03	1	3565253175	2	C	1	28.3582	24.932095	0	True	True	False	0	False	1789924847.767
gd-tools	w03	1	3565253175	2	B0	2	5.3376	2.003419	0	True		False	0	False	1789924857.636
